EmployeeNumber,risk_score,estimated_years_to_departure,risk_tier,urgency
70,0.06859156,,Low,Longer-horizon or stable
72,0.6975942,,High,Longer-horizon or stable
73,0.29393858,,Low,Longer-horizon or stable
74,0.21210174,,Low,Longer-horizon or stable
75,0.3400076,,Medium,Longer-horizon or stable
76,0.01578925,,Low,Longer-horizon or stable
77,0.015226791,,Low,Longer-horizon or stable
78,0.06467679,,Low,Longer-horizon or stable
79,0.06285225,,Low,Longer-horizon or stable
80,0.14025313,,Low,Longer-horizon or stable
81,0.41016686,32.0,Medium,Longer-horizon or stable
83,0.015522516,,Low,Longer-horizon or stable
84,0.004648606,,Low,Longer-horizon or stable
85,0.1934555,,Low,Longer-horizon or stable
86,0.01929252,,Low,Longer-horizon or stable
88,0.106357746,,Low,Longer-horizon or stable
90,0.708198,,High,Longer-horizon or stable
91,0.22120242,,Low,Longer-horizon or stable
94,0.0063805194,,Low,Longer-horizon or stable
95,0.32185975,31.0,Medium,Longer-horizon or stable
96,0.012910473,,Low,Longer-horizon or stable
97,0.028884554,,Low,Longer-horizon or stable
98,0.0071094963,,Low,Longer-horizon or stable
100,0.1576154,,Low,Longer-horizon or stable
101,0.051719666,,Low,Longer-horizon or stable
102,0.05290507,,Low,Longer-horizon or stable
103,0.0746162,,Low,Longer-horizon or stable
104,0.10132997,,Low,Longer-horizon or stable
105,0.10561374,,Low,Longer-horizon or stable
106,0.028891956,,Low,Longer-horizon or stable
107,0.007909648,,Low,Longer-horizon or stable
110,0.049287014,,Low,Longer-horizon or stable
112,0.06695751,,Low,Longer-horizon or stable
113,0.27127346,,Low,Longer-horizon or stable
116,0.03388033,,Low,Longer-horizon or stable
117,0.017313631,,Low,Longer-horizon or stable
118,0.18973406,,Low,Longer-horizon or stable
119,0.052364856,,Low,Longer-horizon or stable
120,0.3945855,,Medium,Longer-horizon or stable
121,0.07765129,,Low,Longer-horizon or stable
124,0.16526568,,Low,Longer-horizon or stable
125,0.62806,,High,Longer-horizon or stable
126,0.034698382,,Low,Longer-horizon or stable
128,0.059349228,,Low,Longer-horizon or stable
129,0.042495877,,Low,Longer-horizon or stable
131,0.29340357,,Low,Longer-horizon or stable
132,0.10279323,,Low,Longer-horizon or stable
133,0.5296021,24.0,Medium,Longer-horizon or stable
134,0.11721626,,Low,Longer-horizon or stable
137,0.8445065,5.0,High,Longer-horizon or stable
138,0.014915588,,Low,Longer-horizon or stable
139,0.00247747,,Low,Longer-horizon or stable
140,0.00037860687,,Low,Longer-horizon or stable
141,0.08197761,,Low,Longer-horizon or stable
142,0.4963711,31.0,Medium,Longer-horizon or stable
143,0.018158522,,Low,Longer-horizon or stable
144,0.22426349,10.0,Low,Longer-horizon or stable
145,0.3196702,,Medium,Longer-horizon or stable
147,0.7525438,24.0,High,Longer-horizon or stable
148,0.009511276,,Low,Longer-horizon or stable
150,0.089437395,,Low,Longer-horizon or stable
151,0.014639196,,Low,Longer-horizon or stable
152,0.10779459,,Low,Longer-horizon or stable
153,0.052438203,,Low,Longer-horizon or stable
154,0.04662583,,Low,Longer-horizon or stable
155,0.13592793,,Low,Longer-horizon or stable
158,0.078850456,,Low,Longer-horizon or stable
159,0.25580388,,Low,Longer-horizon or stable
160,0.08525209,,Low,Longer-horizon or stable
161,0.62629586,,High,Longer-horizon or stable
162,0.17082511,,Low,Longer-horizon or stable
163,0.9115826,31.0,High,Longer-horizon or stable
164,0.18294655,,Low,Longer-horizon or stable
165,0.2335808,,Low,Longer-horizon or stable
167,0.9892179,1.0,High,Near-term
169,0.07854435,32.0,Low,Longer-horizon or stable
170,0.22723025,,Low,Longer-horizon or stable
171,0.041858345,,Low,Longer-horizon or stable
174,0.14896044,,Low,Longer-horizon or stable
175,0.6985068,,High,Longer-horizon or stable
176,0.08462556,,Low,Longer-horizon or stable
177,0.042068027,,Low,Longer-horizon or stable
178,0.042218782,,Low,Longer-horizon or stable
179,0.18969116,,Low,Longer-horizon or stable
182,0.043658778,,Low,Longer-horizon or stable
183,0.39012086,32.0,Medium,Longer-horizon or stable
184,0.14763473,,Low,Longer-horizon or stable
190,0.6964852,24.0,High,Longer-horizon or stable
192,0.10787051,,Low,Longer-horizon or stable
193,0.07138725,,Low,Longer-horizon or stable
194,0.117544636,,Low,Longer-horizon or stable
195,0.022849333,,Low,Longer-horizon or stable
197,0.037889358,,Low,Longer-horizon or stable
198,0.0543758,,Low,Longer-horizon or stable
199,0.046242572,,Low,Longer-horizon or stable
200,0.13950887,,Low,Longer-horizon or stable
201,0.49396986,2.0,Medium,Near-term
202,0.030502709,,Low,Longer-horizon or stable
204,0.05260183,,Low,Longer-horizon or stable
205,0.65231735,,High,Longer-horizon or stable
206,0.3858395,,Medium,Longer-horizon or stable
207,0.29653627,,Low,Longer-horizon or stable
208,0.007461827,,Low,Longer-horizon or stable
211,0.110919036,,Low,Longer-horizon or stable
214,0.18522201,,Low,Longer-horizon or stable
215,0.2533452,,Low,Longer-horizon or stable
216,0.12361694,,Low,Longer-horizon or stable
217,0.043701146,,Low,Longer-horizon or stable
218,0.10940776,,Low,Longer-horizon or stable
221,0.056288157,,Low,Longer-horizon or stable
223,0.06991347,,Low,Longer-horizon or stable
224,0.28638694,,Low,Longer-horizon or stable
226,0.031492542,,Low,Longer-horizon or stable
227,0.13212483,,Low,Longer-horizon or stable
228,0.18199834,,Low,Longer-horizon or stable
230,0.078365885,,Low,Longer-horizon or stable
231,0.19263916,,Low,Longer-horizon or stable
233,0.32437912,,Medium,Longer-horizon or stable
235,0.9223436,3.0,High,Longer-horizon or stable
238,0.4187435,31.0,Medium,Longer-horizon or stable
239,0.02038731,,Low,Longer-horizon or stable
240,0.15584905,,Low,Longer-horizon or stable
241,0.022480907,,Low,Longer-horizon or stable
242,0.050217487,,Low,Longer-horizon or stable
243,0.7917392,5.0,High,Longer-horizon or stable
244,0.07900119,,Low,Longer-horizon or stable
245,0.075556375,32.0,Low,Longer-horizon or stable
246,0.06612824,,Low,Longer-horizon or stable
247,0.06247749,,Low,Longer-horizon or stable
248,0.72207135,31.0,High,Longer-horizon or stable
249,0.17727295,,Low,Longer-horizon or stable
250,0.010061037,,Low,Longer-horizon or stable
252,0.002874949,,Low,Longer-horizon or stable
253,0.0055148336,,Low,Longer-horizon or stable
254,0.05083748,,Low,Longer-horizon or stable
256,0.086370535,,Low,Longer-horizon or stable
258,0.0042199576,,Low,Longer-horizon or stable
259,0.11113735,,Low,Longer-horizon or stable
260,0.049989007,,Low,Longer-horizon or stable
261,0.77740926,,High,Longer-horizon or stable
262,0.0020186845,,Low,Longer-horizon or stable
264,0.02326903,,Low,Longer-horizon or stable
267,0.16658822,,Low,Longer-horizon or stable
269,0.060441688,,Low,Longer-horizon or stable
270,0.0018347665,,Low,Longer-horizon or stable
271,0.022661483,,Low,Longer-horizon or stable
273,0.09834877,,Low,Longer-horizon or stable
274,0.27566293,,Low,Longer-horizon or stable
275,0.038257785,,Low,Longer-horizon or stable
277,0.049637645,,Low,Longer-horizon or stable
281,0.3393081,,Medium,Longer-horizon or stable
282,0.43181023,,Medium,Longer-horizon or stable
283,0.19386142,,Low,Longer-horizon or stable
284,0.25202206,10.0,Low,Longer-horizon or stable
286,0.18676625,,Low,Longer-horizon or stable
287,0.0055742767,,Low,Longer-horizon or stable
288,0.0071979235,,Low,Longer-horizon or stable
291,0.5842688,,Medium,Longer-horizon or stable
292,0.0882858,,Low,Longer-horizon or stable
293,0.14586401,,Low,Longer-horizon or stable
296,0.19074728,,Low,Longer-horizon or stable
297,0.387261,24.0,Medium,Longer-horizon or stable
298,0.04567249,,Low,Longer-horizon or stable
299,0.79472166,24.0,High,Longer-horizon or stable
300,0.36025608,,Medium,Longer-horizon or stable
302,0.03940851,,Low,Longer-horizon or stable
303,0.012665326,,Low,Longer-horizon or stable
304,0.09640051,,Low,Longer-horizon or stable
305,0.09490298,,Low,Longer-horizon or stable
306,0.062654406,,Low,Longer-horizon or stable
307,0.05953906,,Low,Longer-horizon or stable
308,0.015829122,,Low,Longer-horizon or stable
309,0.01137987,,Low,Longer-horizon or stable
311,0.23855156,,Low,Longer-horizon or stable
312,0.03426729,,Low,Longer-horizon or stable
314,0.21833955,,Low,Longer-horizon or stable
315,0.56505936,17.0,Medium,Longer-horizon or stable
316,0.21112478,,Low,Longer-horizon or stable
319,0.04768301,,Low,Longer-horizon or stable
321,0.2228039,32.0,Low,Longer-horizon or stable
323,0.0053155725,,Low,Longer-horizon or stable
325,0.8247494,31.0,High,Longer-horizon or stable
327,0.030689772,,Low,Longer-horizon or stable
328,0.56119204,31.0,Medium,Longer-horizon or stable
329,0.30156463,,Medium,Longer-horizon or stable
330,0.059542675,,Low,Longer-horizon or stable
331,0.73382527,31.0,High,Longer-horizon or stable
332,0.050162535,,Low,Longer-horizon or stable
333,0.16589013,,Low,Longer-horizon or stable
334,0.0833241,,Low,Longer-horizon or stable
335,0.13838065,,Low,Longer-horizon or stable
336,0.0038237134,,Low,Longer-horizon or stable
337,0.077066176,,Low,Longer-horizon or stable
338,0.028390298,,Low,Longer-horizon or stable
339,0.034676813,,Low,Longer-horizon or stable
340,0.04059416,,Low,Longer-horizon or stable
341,0.0604016,,Low,Longer-horizon or stable
342,0.18084344,,Low,Longer-horizon or stable
343,0.09772558,,Low,Longer-horizon or stable
346,0.10832381,,Low,Longer-horizon or stable
347,0.09060659,,Low,Longer-horizon or stable
349,0.025794573,,Low,Longer-horizon or stable
350,0.016158435,,Low,Longer-horizon or stable
351,0.061845507,,Low,Longer-horizon or stable
352,0.0063126567,,Low,Longer-horizon or stable
353,0.093745284,,Low,Longer-horizon or stable
355,0.5576289,,Medium,Longer-horizon or stable
359,0.18804953,,Low,Longer-horizon or stable
361,0.01093644,,Low,Longer-horizon or stable
362,0.23806524,31.0,Low,Longer-horizon or stable
363,0.17375043,,Low,Longer-horizon or stable
364,0.60283005,,High,Longer-horizon or stable
366,0.12166315,,Low,Longer-horizon or stable
367,0.040895175,,Low,Longer-horizon or stable
369,0.0030061377,,Low,Longer-horizon or stable
372,0.040891744,,Low,Longer-horizon or stable
373,0.015041435,,Low,Longer-horizon or stable
374,0.0767036,,Low,Longer-horizon or stable
376,0.25533396,,Low,Longer-horizon or stable
377,0.012020969,,Low,Longer-horizon or stable
378,0.011877843,,Low,Longer-horizon or stable
379,0.10972417,24.0,Low,Longer-horizon or stable
380,0.0035119571,,Low,Longer-horizon or stable
381,0.016746312,,Low,Longer-horizon or stable
382,0.06704306,,Low,Longer-horizon or stable
384,0.02075787,,Low,Longer-horizon or stable
385,0.016773155,,Low,Longer-horizon or stable
386,0.012542333,,Low,Longer-horizon or stable
387,0.08141594,,Low,Longer-horizon or stable
388,0.14858875,,Low,Longer-horizon or stable
389,0.14297675,,Low,Longer-horizon or stable
390,0.46503684,,Medium,Longer-horizon or stable
391,0.009979315,,Low,Longer-horizon or stable
392,0.6818097,,High,Longer-horizon or stable
393,0.0065454044,,Low,Longer-horizon or stable
394,0.71823686,10.0,High,Longer-horizon or stable
395,0.0031790987,,Low,Longer-horizon or stable
396,0.1552775,31.0,Low,Longer-horizon or stable
397,0.11889594,,Low,Longer-horizon or stable
399,0.11911504,,Low,Longer-horizon or stable
401,0.6016016,24.0,High,Longer-horizon or stable
403,0.1981085,,Low,Longer-horizon or stable
404,0.17326361,,Low,Longer-horizon or stable
405,0.7259581,2.0,High,Near-term
406,0.3730754,,Medium,Longer-horizon or stable
407,0.06884629,,Low,Longer-horizon or stable
408,0.012371019,,Low,Longer-horizon or stable
410,0.01266631,,Low,Longer-horizon or stable
411,0.66005135,3.0,High,Longer-horizon or stable
412,0.053514782,,Low,Longer-horizon or stable
416,0.11294883,,Low,Longer-horizon or stable
417,0.0047454005,,Low,Longer-horizon or stable
419,0.035849392,,Low,Longer-horizon or stable
420,0.052240357,,Low,Longer-horizon or stable
421,0.05304387,,Low,Longer-horizon or stable
422,0.010782726,,Low,Longer-horizon or stable
423,0.03424189,,Low,Longer-horizon or stable
424,0.2988756,,Low,Longer-horizon or stable
425,0.2183514,,Low,Longer-horizon or stable
426,0.16749075,,Low,Longer-horizon or stable
428,0.07697683,,Low,Longer-horizon or stable
429,0.08124694,,Low,Longer-horizon or stable
430,0.061844707,,Low,Longer-horizon or stable
431,0.05190938,,Low,Longer-horizon or stable
433,0.577778,,Medium,Longer-horizon or stable
434,0.5630872,24.0,Medium,Longer-horizon or stable
436,0.23280865,,Low,Longer-horizon or stable
437,0.2358971,32.0,Low,Longer-horizon or stable
438,0.014402066,,Low,Longer-horizon or stable
439,0.037000466,,Low,Longer-horizon or stable
440,0.8971568,23.0,High,Longer-horizon or stable
441,0.006136987,,Low,Longer-horizon or stable
442,0.2180703,,Low,Longer-horizon or stable
444,0.03799773,,Low,Longer-horizon or stable
445,0.23226832,,Low,Longer-horizon or stable
446,0.20667955,,Low,Longer-horizon or stable
447,0.004949402,,Low,Longer-horizon or stable
448,0.06103295,,Low,Longer-horizon or stable
449,0.07349196,,Low,Longer-horizon or stable
450,0.036862,,Low,Longer-horizon or stable
451,0.12790968,,Low,Longer-horizon or stable
452,0.024483936,,Low,Longer-horizon or stable
453,0.15227516,,Low,Longer-horizon or stable
454,0.910322,10.0,High,Longer-horizon or stable
455,0.21252513,,Low,Longer-horizon or stable
456,0.014223636,,Low,Longer-horizon or stable
458,0.0913141,,Low,Longer-horizon or stable
460,0.011615665,,Low,Longer-horizon or stable
461,0.012253845,,Low,Longer-horizon or stable
462,0.10837322,,Low,Longer-horizon or stable
463,0.18466432,,Low,Longer-horizon or stable
464,0.018236358,,Low,Longer-horizon or stable
465,0.02378956,,Low,Longer-horizon or stable
466,0.17076808,,Low,Longer-horizon or stable
467,0.47490367,,Medium,Longer-horizon or stable
468,0.013987801,,Low,Longer-horizon or stable
469,0.011903092,,Low,Longer-horizon or stable
470,0.09518279,,Low,Longer-horizon or stable
471,0.022580316,,Low,Longer-horizon or stable
473,0.11001969,,Low,Longer-horizon or stable
474,0.062372856,,Low,Longer-horizon or stable
475,0.2110962,,Low,Longer-horizon or stable
476,0.05778333,,Low,Longer-horizon or stable
477,0.011836768,,Low,Longer-horizon or stable
478,0.958927,7.0,High,Longer-horizon or stable
479,0.0041313465,,Low,Longer-horizon or stable
481,0.33331013,,Medium,Longer-horizon or stable
482,0.016322985,,Low,Longer-horizon or stable
483,0.07679622,,Low,Longer-horizon or stable
484,0.15619105,15.0,Low,Longer-horizon or stable
485,0.84215486,8.0,High,Longer-horizon or stable
486,0.05715187,,Low,Longer-horizon or stable
487,0.022505503,,Low,Longer-horizon or stable
488,0.5125176,32.0,Medium,Longer-horizon or stable
491,0.042045936,,Low,Longer-horizon or stable
492,0.4127256,,Medium,Longer-horizon or stable
493,0.49096394,21.0,Medium,Longer-horizon or stable
494,0.5974687,5.0,Medium,Longer-horizon or stable
495,0.03946565,32.0,Low,Longer-horizon or stable
496,0.10899259,,Low,Longer-horizon or stable
497,0.009161876,,Low,Longer-horizon or stable
498,0.045417633,,Low,Longer-horizon or stable
499,0.07257629,,Low,Longer-horizon or stable
500,0.050818514,,Low,Longer-horizon or stable
501,0.005980319,,Low,Longer-horizon or stable
502,0.58610517,23.0,Medium,Longer-horizon or stable
505,0.0063094837,,Low,Longer-horizon or stable
507,0.07768625,,Low,Longer-horizon or stable
508,0.3146484,,Medium,Longer-horizon or stable
510,0.30480692,,Medium,Longer-horizon or stable
511,0.13403474,32.0,Low,Longer-horizon or stable
513,0.15549916,,Low,Longer-horizon or stable
514,0.90955365,10.0,High,Longer-horizon or stable
515,0.037298035,,Low,Longer-horizon or stable
516,0.010114038,,Low,Longer-horizon or stable
517,0.017700778,,Low,Longer-horizon or stable
518,0.26332772,,Low,Longer-horizon or stable
520,0.031093232,,Low,Longer-horizon or stable
521,0.04361258,,Low,Longer-horizon or stable
522,0.066685416,,Low,Longer-horizon or stable
523,0.041397102,,Low,Longer-horizon or stable
524,0.022286797,,Low,Longer-horizon or stable
525,0.19428702,,Low,Longer-horizon or stable
526,0.031041326,,Low,Longer-horizon or stable
527,0.21470495,31.0,Low,Longer-horizon or stable
529,0.07710594,,Low,Longer-horizon or stable
530,0.06465994,,Low,Longer-horizon or stable
531,0.014563672,,Low,Longer-horizon or stable
532,0.20864269,,Low,Longer-horizon or stable
533,0.1342896,,Low,Longer-horizon or stable
534,0.03824166,,Low,Longer-horizon or stable
536,0.03749709,,Low,Longer-horizon or stable
538,0.3741493,,Medium,Longer-horizon or stable
543,0.027280804,,Low,Longer-horizon or stable
544,0.019187832,,Low,Longer-horizon or stable
546,0.00392192,,Low,Longer-horizon or stable
547,0.033959284,,Low,Longer-horizon or stable
548,0.023998518,,Low,Longer-horizon or stable
549,0.10690461,,Low,Longer-horizon or stable
550,0.006878567,,Low,Longer-horizon or stable
551,0.01351339,,Low,Longer-horizon or stable
554,0.7872491,15.0,High,Longer-horizon or stable
555,0.50825286,,Medium,Longer-horizon or stable
556,0.36200342,10.0,Medium,Longer-horizon or stable
558,0.011473912,,Low,Longer-horizon or stable
560,0.029318139,,Low,Longer-horizon or stable
562,0.13212815,,Low,Longer-horizon or stable
564,0.062226567,,Low,Longer-horizon or stable
565,0.56619936,,Medium,Longer-horizon or stable
566,0.70851886,5.0,High,Longer-horizon or stable
567,0.14122657,,Low,Longer-horizon or stable
568,0.04481519,,Low,Longer-horizon or stable
569,0.07012237,,Low,Longer-horizon or stable
571,0.05547585,,Low,Longer-horizon or stable
573,0.21080735,,Low,Longer-horizon or stable
574,0.0095345285,,Low,Longer-horizon or stable
575,0.06062675,,Low,Longer-horizon or stable
577,0.27702618,,Low,Longer-horizon or stable
578,0.097249374,,Low,Longer-horizon or stable
579,0.011494629,,Low,Longer-horizon or stable
580,0.105005205,,Low,Longer-horizon or stable
581,0.0043231626,,Low,Longer-horizon or stable
582,0.4952866,,Medium,Longer-horizon or stable
584,0.4314025,32.0,Medium,Longer-horizon or stable
585,0.26931012,,Low,Longer-horizon or stable
586,0.113554314,,Low,Longer-horizon or stable
587,0.7815184,,High,Longer-horizon or stable
590,0.6302557,,High,Longer-horizon or stable
591,0.188253,,Low,Longer-horizon or stable
592,0.096801035,,Low,Longer-horizon or stable
593,0.8808193,16.0,High,Longer-horizon or stable
595,0.12771615,,Low,Longer-horizon or stable
597,0.15406163,,Low,Longer-horizon or stable
599,0.008367363,,Low,Longer-horizon or stable
600,0.35194638,,Medium,Longer-horizon or stable
601,0.09578618,,Low,Longer-horizon or stable
602,0.07744126,,Low,Longer-horizon or stable
604,0.17332058,31.0,Low,Longer-horizon or stable
605,0.10451527,,Low,Longer-horizon or stable
606,0.027186038,,Low,Longer-horizon or stable
608,0.72656834,,High,Longer-horizon or stable
611,0.024500046,,Low,Longer-horizon or stable
612,0.0021212585,,Low,Longer-horizon or stable
613,0.060056444,,Low,Longer-horizon or stable
614,0.9861509,1.0,High,Near-term
615,0.063323624,,Low,Longer-horizon or stable
616,0.15286674,,Low,Longer-horizon or stable
618,0.27992553,,Low,Longer-horizon or stable
620,0.038773537,,Low,Longer-horizon or stable
621,0.03766983,,Low,Longer-horizon or stable
622,0.996766,3.0,High,Longer-horizon or stable
623,0.018806566,,Low,Longer-horizon or stable
624,0.14134663,,Low,Longer-horizon or stable
625,0.07050464,,Low,Longer-horizon or stable
626,0.009345713,,Low,Longer-horizon or stable
630,0.111548096,,Low,Longer-horizon or stable
631,0.08250226,32.0,Low,Longer-horizon or stable
632,0.1615013,,Low,Longer-horizon or stable
634,0.011971404,,Low,Longer-horizon or stable
635,0.1198892,,Low,Longer-horizon or stable
638,0.019348288,,Low,Longer-horizon or stable
639,0.06424313,,Low,Longer-horizon or stable
641,0.060581878,,Low,Longer-horizon or stable
643,0.335421,10.0,Medium,Longer-horizon or stable
644,0.142126,,Low,Longer-horizon or stable
645,0.3541807,31.0,Medium,Longer-horizon or stable
647,0.4443436,32.0,Medium,Longer-horizon or stable
648,0.89187485,10.0,High,Longer-horizon or stable
649,0.024757998,,Low,Longer-horizon or stable
650,0.5903456,,Medium,Longer-horizon or stable
652,0.07392027,,Low,Longer-horizon or stable
653,0.020395659,,Low,Longer-horizon or stable
655,0.021548003,,Low,Longer-horizon or stable
656,0.075480394,,Low,Longer-horizon or stable
657,0.12344038,9.0,Low,Longer-horizon or stable
659,0.002434858,,Low,Longer-horizon or stable
661,0.014370222,,Low,Longer-horizon or stable
662,0.0718895,,Low,Longer-horizon or stable
663,0.15902553,,Low,Longer-horizon or stable
664,0.010238803,,Low,Longer-horizon or stable
665,0.13331197,,Low,Longer-horizon or stable
666,0.19791517,,Low,Longer-horizon or stable
667,0.06086237,,Low,Longer-horizon or stable
669,0.5606519,15.0,Medium,Longer-horizon or stable
671,0.009590298,,Low,Longer-horizon or stable
675,0.08537777,31.0,Low,Longer-horizon or stable
677,0.059097104,,Low,Longer-horizon or stable
679,0.03903281,,Low,Longer-horizon or stable
680,0.13912168,,Low,Longer-horizon or stable
682,0.11043656,,Low,Longer-horizon or stable
683,0.021581914,,Low,Longer-horizon or stable
684,0.37403825,,Medium,Longer-horizon or stable
686,0.1227359,,Low,Longer-horizon or stable
689,0.042067885,,Low,Longer-horizon or stable
690,0.025249101,,Low,Longer-horizon or stable
691,0.06037124,,Low,Longer-horizon or stable
692,0.09476273,,Low,Longer-horizon or stable
698,0.28758973,,Low,Longer-horizon or stable
699,0.062912606,,Low,Longer-horizon or stable
700,0.095770285,32.0,Low,Longer-horizon or stable
701,0.7206619,5.0,High,Longer-horizon or stable
702,0.83083725,31.0,High,Longer-horizon or stable
704,0.13479525,,Low,Longer-horizon or stable
705,0.08836004,,Low,Longer-horizon or stable
707,0.01077757,,Low,Longer-horizon or stable
709,0.05609233,,Low,Longer-horizon or stable
710,0.016637253,,Low,Longer-horizon or stable
712,0.036659025,,Low,Longer-horizon or stable
714,0.017553605,,Low,Longer-horizon or stable
715,0.026447603,,Low,Longer-horizon or stable
716,0.04030775,,Low,Longer-horizon or stable
717,0.07623195,,Low,Longer-horizon or stable
720,0.52452135,24.0,Medium,Longer-horizon or stable
721,0.060608078,,Low,Longer-horizon or stable
722,0.057940844,,Low,Longer-horizon or stable
723,0.47207657,,Medium,Longer-horizon or stable
724,0.009337937,,Low,Longer-horizon or stable
725,0.021476498,,Low,Longer-horizon or stable
727,0.009888204,,Low,Longer-horizon or stable
728,0.15858117,,Low,Longer-horizon or stable
729,0.25431862,,Low,Longer-horizon or stable
730,0.0038674579,,Low,Longer-horizon or stable
731,0.022482898,,Low,Longer-horizon or stable
732,0.43330428,32.0,Medium,Longer-horizon or stable
733,0.052256864,,Low,Longer-horizon or stable
734,0.0010502677,,Low,Longer-horizon or stable
738,0.06835015,,Low,Longer-horizon or stable
741,0.87303877,10.0,High,Longer-horizon or stable
742,0.015092562,,Low,Longer-horizon or stable
743,0.08059324,,Low,Longer-horizon or stable
744,0.19146225,32.0,Low,Longer-horizon or stable
746,0.14010315,,Low,Longer-horizon or stable
747,0.22079319,,Low,Longer-horizon or stable
749,0.32833627,9.0,Medium,Longer-horizon or stable
752,0.44971675,31.0,Medium,Longer-horizon or stable
754,0.029851388,,Low,Longer-horizon or stable
757,0.054710068,,Low,Longer-horizon or stable
758,0.16336496,,Low,Longer-horizon or stable
760,0.030020958,,Low,Longer-horizon or stable
762,0.16021472,,Low,Longer-horizon or stable
763,0.13782416,31.0,Low,Longer-horizon or stable
764,0.32726485,,Medium,Longer-horizon or stable
766,0.07341933,,Low,Longer-horizon or stable
769,0.023165623,,Low,Longer-horizon or stable
771,0.0038931447,,Low,Longer-horizon or stable
772,0.17737763,,Low,Longer-horizon or stable
773,0.29599872,,Low,Longer-horizon or stable
775,0.031411953,,Low,Longer-horizon or stable
776,0.21527432,,Low,Longer-horizon or stable
780,0.26648006,31.0,Low,Longer-horizon or stable
781,0.06738742,,Low,Longer-horizon or stable
783,0.6141729,,High,Longer-horizon or stable
784,0.058470406,15.0,Low,Longer-horizon or stable
785,0.7161783,31.0,High,Longer-horizon or stable
786,0.0048280717,,Low,Longer-horizon or stable
787,0.11001038,,Low,Longer-horizon or stable
789,0.36149067,,Medium,Longer-horizon or stable
791,0.011095659,,Low,Longer-horizon or stable
792,0.3695118,,Medium,Longer-horizon or stable
793,0.11428787,,Low,Longer-horizon or stable
796,0.7602169,31.0,High,Longer-horizon or stable
797,0.006248213,,Low,Longer-horizon or stable
799,0.06306753,,Low,Longer-horizon or stable
800,0.09205387,,Low,Longer-horizon or stable
802,0.11396664,,Low,Longer-horizon or stable
803,0.1980138,32.0,Low,Longer-horizon or stable
804,0.03852099,,Low,Longer-horizon or stable
805,0.07969158,,Low,Longer-horizon or stable
806,0.03737577,,Low,Longer-horizon or stable
807,0.0045752428,,Low,Longer-horizon or stable
808,0.111411,,Low,Longer-horizon or stable
809,0.018458243,,Low,Longer-horizon or stable
811,0.7901438,3.0,High,Longer-horizon or stable
812,0.11750831,,Low,Longer-horizon or stable
813,0.02404982,,Low,Longer-horizon or stable
815,0.011214144,,Low,Longer-horizon or stable
816,0.7796036,8.0,High,Longer-horizon or stable
817,0.08682117,,Low,Longer-horizon or stable
819,0.73277664,24.0,High,Longer-horizon or stable
820,0.011236526,,Low,Longer-horizon or stable
